x,z,r00,r02,v_l,v_r
729.385,-4495.8,0.874435,-0.485143,10.0745,10.0917
726.266,-4490.17,0.874964,-0.484188,10.1101,10.1272
723.143,-4484.52,0.875494,-0.483229,10.1454,10.1627
720.016,-4478.85,0.876024,-0.482268,10.1807,10.198
716.981,-4473.33,0.876539,-0.48133,10.2161,10.2334
713.844,-4467.61,0.877072,-0.480358,10.2512,10.2687
710.702,-4461.86,0.877605,-0.479384,10.2951,10.2951
707.654,-4456.28,0.87804,-0.478587,10.3214,10.339
704.499,-4450.49,0.878124,-0.478433,10.3564,10.3741
701.338,-4444.68,0.878664,-0.477441,10.3914,10.4091
698.172,-4438.85,0.879203,-0.476447,10.4262,10.4441
695.102,-4433.17,0.879727,-0.47548,10.4611,10.479
691.928,-4427.29,0.880269,-0.474475,10.4959,10.5138
688.85,-4421.58,0.880794,-0.4735,10.5396,10.5396
685.669,-4415.65,0.881251,-0.472648,10.5743,10.5743
682.479,-4409.7,0.881251,-0.472648,10.618,10.5999
679.279,-4403.74,0.881166,-0.472808,10.6435,10.6435
676.165,-4397.94,0.88072,-0.473637,10.678,10.678
672.836,-4391.75,0.88072,-0.473637,10.6942,10.7309
669.699,-4385.92,0.880893,-0.473315,10.7285,10.7654
666.459,-4379.87,0.882001,-0.471248,10.7629,10.7998
663.224,-4373.8,0.88311,-0.469166,10.7879,10.8434
659.992,-4367.7,0.884302,-0.466916,10.822,10.8778
656.869,-4361.76,0.885904,-0.463869,10.8562,10.9121
653.657,-4355.6,0.887557,-0.460699,10.8996,10.937
650.457,-4349.41,0.889114,-0.457686,10.9336,10.9712
647.265,-4343.19,0.890207,-0.455556,10.9676,11.0052
644.077,-4336.95,0.891302,-0.45341,11.011,11.0299
640.895,-4330.68,0.892307,-0.451429,11.2054,10.9049
637.813,-4324.58,0.891681,-0.452664,11.2403,10.9396
634.552,-4318.29,0.88281,-0.469731,11.2759,10.9733
631.16,-4312.06,0.873599,-0.486646,11.3111,11.0074
627.75,-4306.06,0.864311,-0.502957,11.3458,11.042
624.101,-4299.92,0.854374,-0.519659,11.3431,11.1129
620.321,-4293.83,0.844505,-0.535548,11.3693,11.1561
616.429,-4287.78,0.836616,-0.54779,11.3931,11.2002
612.441,-4281.78,0.829178,-0.558985,11.7537,10.9234
608.361,-4275.8,0.81857,-0.574406,11.7393,11.0147
604.045,-4269.97,0.787558,-0.616241,11.7778,11.053
599.433,-4264.33,0.758141,-0.652091,11.8188,11.0885
594.548,-4258.89,0.727048,-0.686587,11.805,11.1762
589.562,-4253.83,0.695956,-0.718085,11.8419,11.2129
584.184,-4248.81,0.666501,-0.745504,11.8532,11.2738
578.591,-4244,0.636341,-0.771408,12.0268,11.1981
572.798,-4239.39,0.605325,-0.795978,11.8636,11.4311
566.963,-4235.17,0.566261,-0.824226,11.8309,11.5311
560.763,-4231.03,0.544345,-0.838861,11.825,11.6036
554.255,-4226.89,0.528306,-0.849054,11.7877,11.7064
548.062,-4223.09,0.5178,-0.855502,11.8205,11.7392
541.619,-4219.21,0.513342,-0.858184,11.8432,11.782
535.137,-4215.35,0.509041,-0.860742,11.8657,11.8247
528.824,-4211.64,0.505946,-0.862565,11.8983,11.8573
522.278,-4207.81,0.503678,-0.863892,11.9206,11.9
515.91,-4204.11,0.501619,-0.865089,11.9531,11.9325
509.311,-4200.28,0.500478,-0.865749,11.9753,11.9753
502.69,-4196.46,0.499515,-0.866305,12.0076,12.0076
496.256,-4192.75,0.499515,-0.866305,12.0399,12.0399
489.596,-4188.91,0.499515,-0.866305,12.0721,12.0721
482.919,-4185.06,0.499515,-0.866305,12.1043,12.1043
476.223,-4181.2,0.499515,-0.866305,12.1364,12.1364
469.3,-4177.21,0.499515,-0.866305,12.1685,12.1685
462.569,-4173.33,0.499515,-0.866305,12.2006,12.2006
455.82,-4169.44,0.499515,-0.866305,12.2219,12.2432
449.264,-4165.66,0.499699,-0.866199,12.2538,12.2751
442.483,-4161.74,0.500878,-0.865518,12.2857,12.307
435.478,-4157.68,0.502094,-0.864813,12.3174,12.3389
428.672,-4153.72,0.503275,-0.864126,12.3492,12.3707
421.855,-4149.74,0.504462,-0.863434,12.3809,12.4024
415.238,-4145.87,0.505611,-0.862762,12.4125,12.4341
408.397,-4141.86,0.5068,-0.862064,12.4441,12.4658
401.543,-4137.82,0.507994,-0.861361,12.4757,12.4974
394.677,-4133.77,0.509187,-0.860656,12.518,12.518
388.015,-4129.82,0.510196,-0.860058,12.5496,12.5496
381.123,-4125.73,0.510196,-0.860058,12.581,12.581
374.213,-4121.63,0.510196,-0.860058,12.6124,12.6124
367.502,-4117.65,0.510196,-0.860058,12.6437,12.6437
360.341,-4113.4,0.510196,-0.860058,12.675,12.675
353.597,-4109.4,0.510196,-0.860058,12.7062,12.7062
346.618,-4105.26,0.510196,-0.860058,12.7374,12.7374
339.841,-4101.24,0.510196,-0.860058,12.7686,12.7686
332.827,-4097.08,0.510196,-0.860058,12.7996,12.7996
325.797,-4092.91,0.510196,-0.860058,12.8306,12.8306
318.75,-4088.73,0.510196,-0.860058,12.7722,12.9513
311.685,-4084.54,0.511736,-0.859143,12.7919,12.9939
304.634,-4080.29,0.521747,-0.8531,12.8231,13.0251
297.837,-4076.08,0.532389,-0.8465,12.8425,13.068
290.86,-4071.63,0.543487,-0.839418,12.8845,13.0881
283.929,-4067.08,0.555361,-0.831609,12.9155,13.1192
277.258,-4062.56,0.565815,-0.824532,12.9572,13.1392
270.416,-4057.81,0.576338,-0.817211,13.0218,13.136
263.828,-4053.11,0.585087,-0.810971,13.0525,13.1667
257.054,-4048.19,0.591001,-0.806671,13.0942,13.1861
250.301,-4043.2,0.596706,-0.80246,13.1476,13.1937
243.565,-4038.16,0.601051,-0.799211,13.178,13.2242
237.043,-4033.25,0.603333,-0.79749,13.2199,13.243
230.31,-4028.14,0.605501,-0.795845,13.2502,13.2734
223.573,-4023,0.606681,-0.794945,13.2803,13.3037
216.827,-4017.85,0.607863,-0.794042,13.3105,13.3339
210.285,-4012.83,0.609012,-0.793161,13.3523,13.3523
203.524,-4007.64,0.610012,-0.792392,13.3824,13.3824
196.963,-4002.58,0.610012,-0.792392,13.4125,13.4125
190.174,-3997.36,0.610012,-0.792392,13.4543,13.4307
183.37,-3992.12,0.609825,-0.792536,13.4842,13.4605
176.547,-3986.88,0.608627,-0.793457,13.5142,13.4905
169.914,-3981.8,0.60746,-0.79435,13.5441,13.5203
163.044,-3976.55,0.606253,-0.795271,13.5739,13.55
156.151,-3971.3,0.605042,-0.796193,13.6037,13.5798
149.234,-3966.06,0.603825,-0.797117,13.6214,13.6214
142.512,-3960.97,0.602834,-0.797867,13.6631,13.639
135.554,-3955.71,0.602642,-0.798012,13.6927,13.6686
128.577,-3950.45,0.601413,-0.798938,13.7102,13.7102
121.795,-3945.35,0.600413,-0.79969,13.7397,13.7397
114.776,-3940.08,0.600413,-0.79969,13.7692,13.7692
107.742,-3934.8,0.600413,-0.79969,13.7865,13.8108
100.693,-3929.51,0.600607,-0.799544,13.8157,13.8401
93.8552,-3924.37,0.601811,-0.798638,13.8451,13.8695
86.7898,-3919.03,0.603058,-0.797697,13.8743,13.8988
79.7178,-3913.68,0.604304,-0.796754,13.9157,13.9157
72.6388,-3908.3,0.605357,-0.795954,13.9449,13.9449
65.5481,-3902.91,0.605357,-0.795954,13.9864,13.9617
58.4425,-3897.51,0.60516,-0.796104,14.0031,14.0031
51.0941,-3891.93,0.604061,-0.796938,14.0322,14.0322
44.1732,-3886.68,0.604061,-0.796938,14.0611,14.0611
37.0144,-3881.26,0.604061,-0.796938,14.0033,14.1772
30.0657,-3875.99,0.605169,-0.796097,14.0324,14.2063
22.9134,-3870.49,0.613989,-0.789314,14.0487,14.2482
15.8082,-3864.91,0.622936,-0.782273,14.0775,14.2774
8.75687,-3859.22,0.632877,-0.774252,14.1065,14.3065
1.98182,-3853.62,0.642428,-0.766346,14.1599,14.3107
-4.95258,-3847.73,0.651813,-0.75838,13.3111,15.2693
-11.8327,-3841.76,0.672587,-0.740018,13.367,15.3265
-18.0396,-3835.43,0.75727,-0.653102,13.4171,15.3891
-23.6163,-3828.14,0.83308,-0.553153,13.4748,15.4431
-28.2513,-3820.18,0.896064,-0.443925,14.6302,14.3484
-31.7701,-3811.93,0.937319,-0.348472,14.6589,14.377
-35.0757,-3803.27,0.930882,-0.365321,15.0289,14.0726
-38.5469,-3794.65,0.921543,-0.388276,14.0606,15.109
-42.3951,-3786.16,0.90649,-0.422228,14.0945,15.1433
-45.9626,-3777.85,0.932003,-0.362451,15.2649,14.0452
-49.0881,-3769.03,0.947183,-0.320693,15.3015,14.0814
-52.3049,-3760.54,0.920246,-0.39134,14.0659,15.3924
-56.2883,-3752.02,0.898389,-0.439201,15.5291,14.0113
-59.9875,-3743.67,0.922911,-0.385014,15.5706,14.0523
-64.0203,-3735.12,0.881216,-0.472713,15.5387,14.1612
-68.8762,-3726.98,0.831977,-0.55481,14.1077,15.6753
-74.4604,-3719.29,0.79799,-0.60267,14.1492,15.7174
-79.6839,-3711.67,0.85271,-0.522385,15.6047,14.3351
-84.2992,-3703.31,0.888074,-0.4597,15.4749,14.5293
-89.023,-3694.97,0.849545,-0.527516,15.5069,14.5611
-94.1451,-3687.21,0.817175,-0.576389,15.7724,14.3706
-99.9146,-3679.5,0.777952,-0.628324,14.1859,16.0515
-106.274,-3672.25,0.740865,-0.671654,14.2334,16.0998
-112.184,-3664.98,0.813432,-0.58166,15.6897,14.7095
-117.389,-3656.79,0.862916,-0.505347,15.6632,14.7975
-122.381,-3648.79,0.831139,-0.556065,15.694,14.828
-128.193,-3640.59,0.798024,-0.602626,16.0006,14.5948
-134.086,-3633.19,0.761043,-0.648702,15.9765,14.6895
-140.745,-3626.01,0.700526,-0.713627,16.0119,14.7245
-147.773,-3619.61,0.641408,-0.7672,15.9221,14.8789
-155.556,-3613.59,0.578083,-0.815978,15.8451,15.0161
-163.773,-3608.15,0.524183,-0.851605,15.8751,15.0459
-172.31,-3603.18,0.478284,-0.878205,15.6943,15.282
-180.836,-3598.8,0.43628,-0.899811,15.6398,15.3902
-189.809,-3594.58,0.413872,-0.910335,15.6667,15.417
-198.596,-3590.67,0.399735,-0.916631,15.5266,15.6102
-207.744,-3586.76,0.388113,-0.921612,15.4973,15.6928
